职位标题,职位链接
AI Agent 评测,http://www.zhaopin.com/jobdetail/CCL1480117890J40821572905.htm?refcode=4019&srccode=401903&preactionid=29cdbfd6-7a08-4cd9-ae76-89b81a351d1d
AI 应用研发工程师（大模型）,http://www.zhaopin.com/jobdetail/CC232405810J40800949505.htm?refcode=4019&srccode=401903&preactionid=29cdbfd6-7a08-4cd9-ae76-89b81a351d1d
AI图像算法工程师,http://www.zhaopin.com/jobdetail/CC139131340J40807541211.htm?refcode=4019&srccode=401903&preactionid=29cdbfd6-7a08-4cd9-ae76-89b81a351d1d
AI/NLP/图像/推荐/运筹/运动控制算法工程师,http://www.zhaopin.com/jobdetail/CCL1480117890J40833274105.htm?refcode=4019&srccode=401903&preactionid=29cdbfd6-7a08-4cd9-ae76-89b81a351d1d
AI架构师（AI工程师）,http://www.zhaopin.com/jobdetail/CC000402820J40722653202.htm?refcode=4019&srccode=401903&preactionid=29cdbfd6-7a08-4cd9-ae76-89b81a351d1d
UI/UX视觉设计师（AI产品）,http://www.zhaopin.com/jobdetail/CC138117190J40830003805.htm?refcode=4019&srccode=401903&preactionid=29cdbfd6-7a08-4cd9-ae76-89b81a351d1d
AI图书编辑,http://www.zhaopin.com/jobdetail/CC120403170J40863974803.htm?refcode=4019&srccode=401903&preactionid=29cdbfd6-7a08-4cd9-ae76-89b81a351d1d
大模型Ai训练师（通用英文）,http://www.zhaopin.com/jobdetail/CCL1480117890J40809650405.htm?refcode=4019&srccode=401903&preactionid=29cdbfd6-7a08-4cd9-ae76-89b81a351d1d
ai产品经理,http://www.zhaopin.com/jobdetail/CC138117190J40827684105.htm?refcode=4019&srccode=401903&preactionid=29cdbfd6-7a08-4cd9-ae76-89b81a351d1d
AI安全关键技术研究员25SAQ08,http://www.zhaopin.com/jobdetail/CC251266610J40729718402.htm?refcode=4019&srccode=401903&preactionid=29cdbfd6-7a08-4cd9-ae76-89b81a351d1d
大模型AI训练师（Agent、工作流、大厂、双休）,http://www.zhaopin.com/jobdetail/CCL1480117890J40789009305.htm?refcode=4019&srccode=401903&preactionid=29cdbfd6-7a08-4cd9-ae76-89b81a351d1d
